id,name,parent_id/id
res_partner_category_ape_2451z,Fonderie de fonte,res_partner_category_ape
res_partner_category_ape_2452z,Fonderie d'acier,res_partner_category_ape
res_partner_category_ape_2453z,Fonderie de métaux légers,res_partner_category_ape
res_partner_category_ape_2454z,Fonderie d'autres métaux non ferreux,res_partner_category_ape
res_partner_category_ape_2511z,Fabrication de structures métalliques et de parties de structures,res_partner_category_ape
res_partner_category_ape_2512z,Fabrication de portes et fenêtres en métal,res_partner_category_ape
res_partner_category_ape_2521z,Fabrication de radiateurs et de chaudières pour le chauffage central,res_partner_category_ape
res_partner_category_ape_2529z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques",res_partner_category_ape
res_partner_category_ape_2530z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central",res_partner_category_ape
res_partner_category_ape_2540z,Fabrication d'armes et de munitions,res_partner_category_ape
res_partner_category_ape_2550a,"""Forge, estampage, matriçage",res_partner_category_ape
res_partner_category_ape_2550b,"Découpage, emboutissage",res_partner_category_ape
res_partner_category_ape_2561z,Traitement et revêtement des métaux,res_partner_category_ape
res_partner_category_ape_2562a,Décolletage,res_partner_category_ape
res_partner_category_ape_2562b,Mécanique industrielle,res_partner_category_ape
res_partner_category_ape_2571z,Fabrication de coutellerie,res_partner_category_ape
res_partner_category_ape_2572z,Fabrication de serrures et de ferrures,res_partner_category_ape
res_partner_category_ape_2573a,Fabrication de moules et modèles,res_partner_category_ape
res_partner_category_ape_2573b,Fabrication d'autres outillages,res_partner_category_ape
res_partner_category_ape_2591z,Fabrication de fûts et emballages métalliques similaires,res_partner_category_ape
res_partner_category_ape_2592z,Fabrication d'emballages métalliques légers,res_partner_category_ape
res_partner_category_ape_2593z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",res_partner_category_ape
res_partner_category_ape_2594z,Fabrication de vis et de boulons,res_partner_category_ape
res_partner_category_ape_2599a,Fabrication d'articles métalliques ménagers,res_partner_category_ape
res_partner_category_ape_2599b,Fabrication d'autres articles métalliques,res_partner_category_ape
res_partner_category_ape_2611z,Fabrication de composants électroniques,res_partner_category_ape
res_partner_category_ape_2612z,Fabrication de cartes électroniques assemblées,res_partner_category_ape
res_partner_category_ape_2620z,Fabrication d'ordinateurs et d'équipements périphériques,res_partner_category_ape
res_partner_category_ape_2630z,Fabrication d'équipements de communication,res_partner_category_ape
res_partner_category_ape_2640z,Fabrication de produits électroniques grand public,res_partner_category_ape
res_partner_category_ape_2651a,Fabrication d'équipements d'aide à la navigation,res_partner_category_ape
res_partner_category_ape_2651b,Fabrication d'instrumentation scientifique et technique,res_partner_category_ape
res_partner_category_ape_2652z,Horlogerie,res_partner_category_ape
res_partner_category_ape_2660z,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques",res_partner_category_ape
res_partner_category_ape_2670z,Fabrication de matériels optique et photographique,res_partner_category_ape
res_partner_category_ape_2680z,Fabrication de supports magnétiques et optiques,res_partner_category_ape
res_partner_category_ape_2711z,"Fabrication de moteurs, génératrices et transformateurs électriques",res_partner_category_ape
res_partner_category_ape_2712z,Fabrication de matériel de distribution et de commande électrique,res_partner_category_ape
res_partner_category_ape_2720z,Fabrication de piles et d'accumulateurs électriques,res_partner_category_ape
res_partner_category_ape_2731z,Fabrication de câbles de fibres optiques,res_partner_category_ape
res_partner_category_ape_2732z,Fabrication d'autres fils et câbles électroniques ou électriques,res_partner_category_ape
res_partner_category_ape_2733z,Fabrication de matériel d'installation électrique,res_partner_category_ape
res_partner_category_ape_2740z,Fabrication d'appareils d'éclairage électrique,res_partner_category_ape
res_partner_category_ape_2751z,Fabrication d'appareils électroménagers,res_partner_category_ape
res_partner_category_ape_2752z,Fabrication d'appareils ménagers non électriques,res_partner_category_ape
res_partner_category_ape_2790z,Fabrication d'autres matériels électriques,res_partner_category_ape
res_partner_category_ape_2811z,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",res_partner_category_ape
res_partner_category_ape_2812z,Fabrication d'équipements hydrauliques et pneumatiques,res_partner_category_ape
res_partner_category_ape_2813z,Fabrication d'autres pompes et compresseurs,res_partner_category_ape
res_partner_category_ape_2814z,Fabrication d'autres articles de robinetterie,res_partner_category_ape
res_partner_category_ape_2815z,Fabrication d'engrenages et d'organes mécaniques de transmission,res_partner_category_ape
res_partner_category_ape_2821z,Fabrication de fours et brûleurs,res_partner_category_ape
res_partner_category_ape_2822z,Fabrication de matériel de levage et de manutention,res_partner_category_ape
res_partner_category_ape_2823z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques),res_partner_category_ape
res_partner_category_ape_2824z,Fabrication d'outillage portatif à moteur incorporé,res_partner_category_ape
res_partner_category_ape_2825z,Fabrication d'équipements aérauliques et frigorifiques industriels,res_partner_category_ape
res_partner_category_ape_2829a,"Fabrication d'équipements d'emballage, de conditionnement et de pesage",res_partner_category_ape
res_partner_category_ape_2829b,Fabrication d'autres machines d'usage général,res_partner_category_ape
res_partner_category_ape_2830z,Fabrication de machines agricoles et forestières,res_partner_category_ape
res_partner_category_ape_2841z,Fabrication de machines-outils pour le travail des métaux,res_partner_category_ape
res_partner_category_ape_2849z,Fabrication d'autres machines-outils,res_partner_category_ape
res_partner_category_ape_2891z,Fabrication de machines pour la métallurgie,res_partner_category_ape
res_partner_category_ape_2892z,Fabrication de machines pour l'extraction ou la construction,res_partner_category_ape
res_partner_category_ape_2893z,Fabrication de machines pour l'industrie agro-alimentaire,res_partner_category_ape
res_partner_category_ape_2894z,Fabrication de machines pour les industries textiles,res_partner_category_ape
res_partner_category_ape_2895z,Fabrication de machines pour les industries du papier et du carton,res_partner_category_ape
res_partner_category_ape_2896z,Fabrication de machines pour le travail du caoutchouc ou des plastiques,res_partner_category_ape
res_partner_category_ape_2899a,Fabrication de machines d'imprimerie,res_partner_category_ape
res_partner_category_ape_2899b,Fabrication d'autres machines spécialisées,res_partner_category_ape
res_partner_category_ape_2910z,Construction de véhicules automobiles,res_partner_category_ape
res_partner_category_ape_2920z,Fabrication de carrosseries et remorques,res_partner_category_ape
res_partner_category_ape_2931z,Fabrication d'équipements électriques et électroniques automobiles,res_partner_category_ape
res_partner_category_ape_2932z,Fabrication d'autres équipements automobiles,res_partner_category_ape
res_partner_category_ape_3011z,Construction de navires et de structures flottantes,res_partner_category_ape
res_partner_category_ape_3012z,Construction de bateaux de plaisance,res_partner_category_ape
res_partner_category_ape_3020z,Construction de locomotives et d'autre matériel ferroviaire roulant,res_partner_category_ape
res_partner_category_ape_3030z,Construction aéronautique et spatiale,res_partner_category_ape
res_partner_category_ape_3040z,Construction de véhicules militaires de combat,res_partner_category_ape
res_partner_category_ape_3091z,Fabrication de motocycles,res_partner_category_ape
res_partner_category_ape_3092z,Fabrication de bicyclettes et de véhicules pour invalides,res_partner_category_ape
res_partner_category_ape_3099z,Fabrication d'autres équipements de transport n.c.a.,res_partner_category_ape
res_partner_category_ape_3101z,Fabrication de meubles de bureau et de magasin,res_partner_category_ape
res_partner_category_ape_3102z,Fabrication de meubles de cuisine,res_partner_category_ape
res_partner_category_ape_3103z,Fabrication de matelas,res_partner_category_ape
res_partner_category_ape_3109a,Fabrication de sièges d'ameublement d'intérieur,res_partner_category_ape
res_partner_category_ape_3109b,Fabrication d'autres meubles et industries connexes de l'ameublement,res_partner_category_ape
res_partner_category_ape_3211z,Frappe de monnaie,res_partner_category_ape
res_partner_category_ape_3212z,Fabrication d'articles de joaillerie et bijouterie,res_partner_category_ape
res_partner_category_ape_3213z,Fabrication d'articles de bijouterie fantaisie et articles similaires,res_partner_category_ape
res_partner_category_ape_3220z,Fabrication d'instruments de musique,res_partner_category_ape
res_partner_category_ape_3230z,Fabrication d'articles de sport,res_partner_category_ape
res_partner_category_ape_3240z,Fabrication de jeux et jouets,res_partner_category_ape
res_partner_category_ape_3250a,Fabrication de matériel médico-chirurgical et dentaire,res_partner_category_ape
res_partner_category_ape_3250b,Fabrication de lunettes,res_partner_category_ape
res_partner_category_ape_3291z,Fabrication d'articles de brosserie,res_partner_category_ape
res_partner_category_ape_3299z,Autres activités manufacturières n.c.a.,res_partner_category_ape
res_partner_category_ape_3311z,Réparation d'ouvrages en métaux,res_partner_category_ape
res_partner_category_ape_3312z,Réparation de machines et équipements mécaniques,res_partner_category_ape
res_partner_category_ape_3313z,Réparation de matériels électroniques et optiques,res_partner_category_ape
res_partner_category_ape_3314z,Réparation d'équipements électriques,res_partner_category_ape
res_partner_category_ape_3315z,Réparation et maintenance navale,res_partner_category_ape
res_partner_category_ape_3316z,Réparation et maintenance d'aéronefs et d'engins spatiaux,res_partner_category_ape
